time_tag,Kp_Current,Kp_Lag_3h,Kp_Lag_6h,Kp_Lag_24h,Kp_Roll_24h_Mean,Kp_Roll_72h_Mean
2014-01-02 11:00:00+00:00,2.5556666666666668,2.6663333333333337,3.6663333333333337,3.1113333333333335,3.2082083333333333,2.722138888888889
2014-01-02 12:00:00+00:00,2.667,2.333,3.333,3.667,3.166541666666667,2.7206486486486487
2014-01-02 13:00:00+00:00,2.889,2.4443333333333332,2.9996666666666667,3.4446666666666665,3.143388888888889,2.725078947368421
2014-01-02 14:00:00+00:00,3.111,2.5556666666666668,2.6663333333333337,3.2223333333333333,3.13875,2.734974358974359
2014-01-02 15:00:00+00:00,3.333,2.667,2.333,3.0,3.152625,2.749925
2014-01-02 16:00:00+00:00,3.6663333333333337,2.889,2.4443333333333332,3.0,3.180388888888889,2.772276422764228
2014-01-02 17:00:00+00:00,3.9996666666666667,3.111,2.5556666666666668,3.0,3.2220416666666662,2.8015
2014-01-02 18:00:00+00:00,4.333,3.333,2.667,3.0,3.2775833333333337,2.8371162790697677
2014-01-02 19:00:00+00:00,3.6663333333333337,3.6663333333333337,2.889,3.0,3.305347222222222,2.855962121212121
2014-01-02 20:00:00+00:00,2.999666666666667,3.9996666666666667,3.111,3.0,3.3053333333333335,2.8591555555555557
2014-01-02 21:00:00+00:00,2.333,4.333,3.333,3.0,3.2775416666666666,2.847717391304348
2014-01-02 22:00:00+00:00,2.222,3.6663333333333337,3.6663333333333337,3.111,3.2405000000000004,2.834404255319149
2014-01-02 23:00:00+00:00,2.111,2.999666666666667,3.9996666666666667,3.222,3.1942083333333335,2.8193333333333332
2014-01-03 00:00:00+00:00,2.0,2.333,4.333,3.333,3.138666666666667,2.802612244897959
2014-01-03 01:00:00+00:00,1.889,2.222,3.6663333333333337,3.6663333333333337,3.0646111111111107,2.7843400000000003
2014-01-03 02:00:00+00:00,1.778,2.111,2.999666666666667,3.9996666666666667,2.972041666666667,2.764607843137255
2014-01-03 03:00:00+00:00,1.667,2.0,2.333,4.333,2.860958333333334,2.7435
2014-01-03 04:00:00+00:00,1.778,1.889,2.222,3.9996666666666667,2.768388888888889,2.7252830188679247
2014-01-03 05:00:00+00:00,1.889,1.778,2.111,3.6663333333333337,2.6943333333333332,2.7097962962962963
2014-01-03 06:00:00+00:00,2.0,1.667,2.0,3.333,2.6387916666666666,2.6968909090909094
2014-01-03 07:00:00+00:00,2.0,1.778,1.889,2.9996666666666667,2.597138888888889,2.684446428571429
2014-01-03 08:00:00+00:00,2.0,1.889,1.778,2.6663333333333337,2.569375,2.672438596491228
2014-01-03 09:00:00+00:00,2.0,2.0,1.667,2.333,2.5555,2.660844827586207
2014-01-03 10:00:00+00:00,2.3333333333333335,2.0,1.778,2.4443333333333332,2.550875,2.6552937853107346
2014-01-03 11:00:00+00:00,2.6666666666666665,2.0,1.889,2.5556666666666668,2.5555,2.6554833333333336
2014-01-03 12:00:00+00:00,3.0,2.0,2.0,2.667,2.569375,2.6611311475409836
2014-01-03 13:00:00+00:00,2.889,2.3333333333333335,2.0,2.889,2.569375,2.6648064516129035
2014-01-03 14:00:00+00:00,2.778,2.6666666666666665,2.0,3.111,2.5555,2.666603174603175
2014-01-03 15:00:00+00:00,2.667,3.0,2.0,3.333,2.52775,2.666609375
